;Sterivex filter_1.0;Sterivex filter_2.0;Sterivex filter_3.0;Sterivex filter_4.0;crush_2.0;crush_3.0;crush_4.0
"c12a3f28e35372c02b86432907423af4d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Thiobacillus; s__";0;0;1;1;1;1;1
"c51a247d4c7f4d28619baaf619efd16dd__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured; s__";0;0;1;1;1;1;0
"c77689e6c98104be6d1496d352659faad__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota; s__";1;1;1;1;1;1;1
"c8b7afd58453fa7f61cb3486e65de8f0d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__uncultured; s__";1;1;1;1;1;1;1
"c8bd19b8565835581194023669bf730ad__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__";1;1;1;1;1;1;1
"cabcec7ed55ac40bb3dc8ceb83574c2ed__Bacteria; p__Firmicutes; c__Desulfotomaculia; o__Desulfotomaculales; f__Desulfotomaculales; g__Desulfurispora; s__";1;1;1;1;1;0;0
"cbd3b0cb8b2732312e046798ef739780d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__";0;1;1;0;1;1;1
"cc8f2e042303e8043ff4076675946481d__Archaea; p__Hadarchaeota; c__Hadarchaeia; o__Hadarchaeia; f__Hadarchaeales; g__Hadarchaeales; s__";1;1;1;1;0;1;0
"d19ecc8f1a4a52d4924be487c36676b2d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__uncultured; s__";1;0;0;1;1;1;0
"d3faed994f58972c6adeee95e569ad0ad__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__";0;0;0;0;1;0;0
"d53a9ccd38ed49238c188999492d7655d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfurivibrionaceae; g__Desulfurivibrio; s__";0;0;0;0;1;1;1
"d58613503ff8bb647a277dc152979981d__Bacteria; p__Planctomycetota; c__vadinHA49; o__vadinHA49; f__vadinHA49; g__vadinHA49; s__";0;0;0;0;1;1;1
"d9552946334fef92a1d8ddef8a5d8b86d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae; s__";0;0;0;0;1;1;1
"dac53999c340cf320283c093b2823eadd__Bacteria; p__Fibrobacterota; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__uncultured; s__";0;0;0;0;1;1;1
"dc19562027f9300e81abf490eb696c3ad__Bacteria; p__Firmicutes; c__Desulfotomaculia; o__Ammonifexales; f__Ammonificaceae; g__Thermodesulfitimonas; s__";1;1;1;1;1;1;0
"df735f5d520228575b78ed102c407dd1d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peregrinibacteria; f__Candidatus_Peregrinibacteria; g__Candidatus_Peregrinibacteria; s__";0;0;0;0;1;1;1
"e66eb177ff2fdc52e929d5f658ec1736d__Bacteria; p__Firmicutes; c__Dethiobacteria; o__Dethiobacterales; f__Dethiobacteraceae; g__uncultured; s__";0;0;0;0;1;1;1
"e6a1d589a7796edf1b7b15101af7da9fd__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__Ignavibacterium; s__";1;1;1;1;1;1;1
"e79a45f432d0ccc86adbf9bbe7cef2a7d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Thiobacillus; s__";1;1;1;1;1;1;1
"e7a644bafdca5229fad43cc544176646d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae";0;0;0;0;1;1;1
"eebfb6dc7091aeb56f3b09b7aee4ffb5d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__uncultured; s__";0;0;0;0;1;1;0
"efa95fbdf409f20f4bafdebf3da3a95cd__Bacteria; p__Edwardsbacteria; c__Edwardsbacteria; o__Edwardsbacteria; f__Edwardsbacteria; g__Edwardsbacteria; s__";1;1;1;1;1;1;1
"f216ca28eebcff7176e00a3afad29eb5d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis; s__";0;1;0;0;1;1;0
"f61ff40d6f018e4f448c1de363132e8dd__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__Methylomonas; s__";0;0;0;0;1;1;0
"f907b40986fcf9458591c20a4873f291d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Aquimonas; s__";1;1;0;0;1;1;1
fd81f7098c0c4f2f74cd6777974457edd__Bacteria;0;1;1;0;1;1;1
"fe04460fa57fdb9e08e2861af7d3c859d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Sulfuritalea; s__";0;0;0;0;1;0;0
"fe08172e3e3784eaf64c068e6d38ee4fd__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__Lentimicrobium; s__";0;1;1;0;1;1;1
"fe5cc7d1e857bea168a1d2ffbfac2744d__Bacteria; p__Firmicutes; c__D8A-2; o__D8A-2; f__D8A-2; g__D8A-2; s__";1;1;1;1;0;1;0
